label,group,field,from,to,note,mode,model,cosine_similarity,delta,noise_p95
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,RAW,matbert,0.9997066259384155,0.00029337406158447266,-1.1920928955078125e-07
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref1,ada-002,0.32881449426101383,0.6711855057389862,7.771561172376096e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref1,3-large,0.2971593138387769,0.7028406861612231,3.3306690738754696e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref1,matbert,0.7036558389663696,0.29634416103363037,-1.1920928955078125e-07
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref2,ada-002,0.31533310303856193,0.684666896961438,7.771561172376096e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref2,3-large,0.5214575052345056,0.4785424947654944,3.3306690738754696e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_ref2,matbert,0.6511404514312744,0.3488595485687256,-1.1920928955078125e-07
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_both,ada-002,0.23528726903706154,0.7647127309629385,7.771561172376096e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_both,3-large,0.3606525115870361,0.639347488412964,3.3306690738754696e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,PROJ_both,matbert,0.61163729429245,0.38836270570755005,-1.1920928955078125e-07
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,DIFF_both,ada-002,0.23542961968137352,0.7645703803186265,7.771561172376096e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,DIFF_both,3-large,0.36144714076507856,0.6385528592349214,3.3306690738754696e-16
Temp equiv: 918.05 K,temp_replace_equiv,carb_temp,644.9 °C,918.05 K,,DIFF_both,matbert,0.6123468279838562,0.3876531720161438,-1.1920928955078125e-07
Temp equiv: 918 K,temp_replace_equiv,carb_temp,644.9 °C,918 K,,RAW,ada-002,0.9987744293018801,0.0012255706981199044,7.771561172376096e-16
Temp equiv: 918 K,temp_replace_equiv,carb_temp,644.9 °C,918 K,,RAW,3-large,0.9940787041125232,0.005921295887476807,3.3306690738754696e-16
Temp equiv: 918 K,temp_replace_equiv,carb_temp,644.9 °C,918 K,,RAW,matbert,0.9992637634277344,0.000736236572265625,-1.1920928955078125e-07
Temp equiv: 918 K,temp_replace_equiv,carb_temp,644.9 °C,918 K,,PROJ_ref1,ada-002,0.31630103131610665,0.6836989686838933,7.771561172376096e-16
